Từ	Nghĩa
Tač (dt) 	Bãi. Ta] rơ\k: Bãi cỏ. 
Tač êngao (dt) 	Bên ngịi.
Tah (đgt) 	Dỡ
Tai (tt) 	Chùng. 
Tai tăk (tt)	Chùng cheãnh.
Taih (đgt) 	Xa. {uôn taih raih kbưi: Quê hương xa xôi (vời).
Taih tĭn (tt) 	Xa tít. Eùlan klông taih tyøn: đường sá xa tít.
Taih kbưi (tt) 	Xa xôi. Kryøng [uôn sang taih kbưi: Vùng xa xôi (vùng sâu vùng xa).
Tak (đgt)	1. Bôi. Tak êa [lyøt: Bôi hồ dán.
	2. Chấm. Tak êa ju\: Chấm mực.
Tak hrak (đgt) 	Trươyùt ngã. Tak hrak jơ\ng le\ buh: Trượt chân ngã.
Tak mia (đgt) 	Bôi trát.
Tal 	I. (đgt) xẻo. Ama kâo tal ]yøm êmô: bố tôi xẻo thịt bò.
	Ii.(dt) 1. Thứ vị. Sang tal dua: nhà thứ hai. 
	2. Tầng. Sang dua tal: Nhà hai tầng.
Tal êlâo (dt)	Trước tiên
Tam (đgt)	1. Đầm (ngâm). Kbao tam hlăm êa: Trâu đầm dưới nước.
	2. Đặt (ngâm dưới nước). Tam hrôk: đặt lờ.
Tang (dt) 	Ana tang: Cây xoan.
Tao (dt) 	Hbei tao: Khoai lang.
Tao wao (dt) 	}yøm tao wao: Chim tao wao.
Tap (đgt) 	Lót. Tap mnal: Lót vải; Tap hla: Lót lá.
Tar (tt) 	Khăp. Aáu đue# hiu tar  [uôn sang: Nó đi khăp [uôn làng.
Tar ƀar (tt) 	Khăp mọi nơi
Tat (đgt) 	Neôm mạnh xuống đất. 
Tă (đgt) 	1. Xẻ. Ayo\ng kâo tă ]yøm u\n: Anh tôi xẻ thịt heo.
	2. Phát (cỏ). Ama kâo tă guê lo\: Bố tôi phát bờ ruộng.
	3. Căt may. Amai kâo tă ao: Chị tôi căt áo.
Tă tăn (tt) 	Bậy bạ. Mă bruă tă tăn: Làm việc bậy bạ.
Tăk (đgt) 	1. Bật. Tăk pui: Bật đèn.
	2. Lẩy. Tăk mne#] phao: Lẩy cò suông.
Tăk ƀlăk (dt)	Long cong (Làm băôûng tre để đuổi thuô).
Tăk la (dt) 	Con dán.
Tăk lê lô (dt) 	Con răn mối.( con thăôûn lăôûn)
Tăk lu (dt) 	Con giời.
Tăk mnâo (đgt)	Nấc cụt. Aáu [le\ tăk mnâo: Nó bị nấc cụt.
Tăk ta (dt) 	Đyøng tăk ta: Kèn tak ta.
Tăk tai (đgt) 	Đu đưa. Dôk gu\ tăk tai jơ\ng: ngồi đu đưa chân.
Tăm (đgt) 	1. Lợp. }uôr sang tăm ho\ng hlang: Mái nhà lợp băôûng tranh.
	2. Đuổi. Tăm mnu\. Đuổi gà.
	3. Lỡ
Tăm ênua (đgt) 	Đền mạng. 
Tăm pah (đgt)ì	Nguyền rủa.
Tăn (đgt) 	Làm cố. Tăn kơ bruă: Cố làm việc.
Tăng (đgt) 	Cãi. Anak tăng ho\ng amyø ama: Con cãi cha mẹ.
Tăng mgăl (đgt) 	Cãi cọ. Mnuih khăng tăng mgăl: Người hay cãi cọ.
Tăng hik (dt) 	Con bọ xanh.
Tăng măng (dt) 	Con chuồn chuồn. 
Tăng tĭt (dt) 	Con bướm.
Tăp (đgt) 	Giã (luôa). Amai kâo tăp mdiê: Chị tôi giã luôa.
Tăp năng (pht) 	Thỉnh thoảng.
Tâo (dt) 	Boh tâo: Cục đá; Boh tâo lăng đá cuội.
Teh (đgt) 	Đánh. Teh ko\ mnu\: đánh đầu gà.
Tei (dt) 	Kan tei: Cá tra.
Tei hŭng (dt) 	Đu đủ. Boh tei hu\ng: qủa đu đủ; ana tei hu\ng: cây đu đủ.
Tei čik, tei nan (dt)	Dứa (thơm). Boh tei ]ik: Qủa dứa.
Teng teng (tt) 	Keng keng.
Tĕng tŏng (tt) 	Đầy. Tian buk te\ng to\ng: bụng đầy hơi.
Tê (dt) 	Djam tê: Canh nấu với bột gạo.
Têč hnêč (đgt) 	Vấp. Adei kâo tê] hnê] le\ buh: Em tôi vấp ngã.
Têñ (tt) 	Chậm. Mă bruă têyû êgao năng: Làm việc quá chậm.
Têñ ƀêñ (tt) 	Chậm reã. 
Tha (đgt) 	Thả.
Thak (tt) 	Trề ra. K[uê thak: Môi trề.
Thar (đgt) 	Lo liệu. Pô thar bruă mă: Người lo liệu công việc.
Tham (đgt) 	Cuông hiến sinh để từ bỏ mảnh đất.
Thao (dt)	1. Thiếc. Knuah êa ngă ho\ng thao: Gáo nước làm băôûng thiếc.
	2. Thùng. Aáu pu\ thao êa: Nó bê thùng nước.
Thăt (dt) 	Ao thăt: Cái yếm.
Thâo 	I. (đgt) biết. La] kơ yûu thâo: nói cho nó biết.
	Ii. (tt) giỏi. Aáu hriăm thâo snăk: nó học rất giỏi.
Thâo đup gưt (tt)	Lễ pheôp.
Thâo jum tue êgar (tt)	Hiếu khách.
Thâo klă 	Hiểu rõ.
Thâo knal (tt)	Lịch thiệp.
Thâo krăl (đgt) 	Quen biết.
Thâo răng (tt)	Cẩn thận.
Thâo săng (đgt) 	Hiểu.
Theh (đgt) 	Đánh. Theh ti kđiêng: đánh vào ngón tay.
Them (đgt) 	Thêm. Them bruă: thêm việc.
Thiăm (đgt) 	Thêm. Lo\ thiăm mnuih: Lại thêm người.
Thiê (đgt) 	Cho
Thiêl (đgt) 	Aûn từ từ
Thiêng (đgt) 	Phang. Thiêng ti ko\: Phang vào đầu.
Thiêp jông (dt) 	Cây chêm reãu.
Thiêp thiêp (tt) 	Thoảng qua. Angyøn thiêp thiêp: Gió thoảng qua.
Thiêr (dt) 	Con mối nhỏ.
Thik thôk (tt) 	Lười. Alah thik thôk: Lười chảy thây.
Thĭu (tt) 	Thiếu. Thyøu ênoh: Chưa đủ (thiếu số lượng).
Thơ (dt) 	Người mổ thịt. Aáu ngă thơ êmô: Nó làm (mổ) thịt bò.
Thơt (dt) 	Cái thớt.
Thu (tt) 	Khô. Lăn thu: đất khô.
Thung (dt) 	Ống chân
Thuôt (dt) 	Mụn cóc.
Thut (đgt) 	Thổi
Thŭn (dt) 	Năm
Thŭn kruôp (dt)	Năm nhuận.
Thŭng (dt)	Thùng. Thu\ng mdiê: Thùng luôa.
Thưp (đgt) 	Nhấm nháp. Thưp mnâo: Nhấm nháp mùi vị (hương vị);
	Thưp mnâo kphê: Nhấm nháp hương vị cà phê.
Thưt (đgt) 	1. Giống như thư\. 
	2. Nhỏ giọt.
Thưt thưt (đgt)  	Nhỏ giọt. Eùa k’ho\ thưt thưt: Mồ hôi nhỏ giọt.
Thư̆ 	I. (đgt) ngớt. Hjan amâo thư\: mưa không ngớt.
	Ii. (dt) giọt. Dua pluh bliư\ thư\: hai mươi giọt.
Ti (đt)	Đại từ chỉ nơi chốn. Ti anei: eûoù đây; ti krah: eûoù giữa.
Ti anôk (đt)	Eûoù đâu.
Ti djiêu (dt)	Bên cạnh.
Ti tluôn (dt)	Đăôûng sau.
Tia (đgt) 	Rèn. Tia kgă: Rèn xà gạc.
Tiăm tiăm (tt) 	Phàn nàn.
Tian (dt) 	Bụng. Eùpa tian: đói bụng; Ruă tian: đau bụng.
Tiăng (đgt) 	Tiăng tiăng (pht): Chan chát. Đo\k blu\ tiăng tiăng: Giọng nói chan chát (nói săôïng và mạnh).
Tiap (đgt) 	Lót.
Tiăr tiăr (tt) 	Khanh khách (Vật cứng va chạm vào nhau tạo ra âm thanh). 
Tiê (dt) 	Gan. Tiê êmô: Gan bò.
Tiê boh (dt) 	Tim
Tiêng (dt) 	1. Mụn nhọt.  
	2. Hbei tiêng. Củ beãnh tinh.
Tiêng liêng (dt) 	Chuông.
Tiêo (đgt) 	Giăt. Tiêo ti k’iêng: Giăt bên hông.
Tiêp (tt)  	Nhói.
Tiêp tiêp (tt) 	Nhoi nhói (đau nhoi nhói). Hdăm ke\ ruă tiêp tiêp: Kiến căn đau nhoi nhói. 
Tiêr (đgt) 	Đi vòng quanh. Tiêr hma: đi vòng quanh róy. 
Tiêt 	I. (đgt) cài. Tiêt hăt ti knga: cài (giăt) thuốc trên vành tai.
	Ii. (dt) boh tiêt: hạch.
Tiêu (đgt) 	Giống như tiêo.
Tih 	I. (dt) boh tih: băp chân.
	Ii. (đgt) đào hố sâu. Tih hbei dliê: đào củ mài.
Tin (dt) 	Hbei tin: Củ đậu.
Tin tun (tt) 	Tròn lẳn. Asei mlei tin tun: Người mập (thân heãnh tròn lẳn).
Ting (đgt) 	Cập bến
Tiŏ (đgt) 	Đuổi (theo).
Tiŏ nao (đgt) 	Phái đi. Amyø ama tio\ nao dăm dei êmuh ung kơ anak mniê: Cha mẹ phái anh em trai (của mẹ) đi hỏi chồng cho con gái.
Tiông (dt) 	Lóy nỏ
Tit (dt) (yu) 	Tết. {ơ\ng tit: aûn tết.
Tir (đgt) 	Giống như tiêr.
Tĭ (tt) 	Rách. Ao tyø: Aoûo rách.
Tĭ rư̆č (tt) 	Rách tả tơi. }hum ao tyø rư]: Quần áo rách tả tơi.
Tĭ tŭl (tt) 	Rách rưới.
Tĭk tăk (tt) 	Tích tăc.
Tĭk (dt) 	Mủ tai.
Tĭm ahĭm (đgt) 	Không ưa thích. Ya ngă ih tyøm ahyøm nanao kơ gơ\?: Tại sao anh không ưa thích nó?.
Tĭm tŭm (tt) 	Sưng
Tĭng (dt) 	1. Tính. Klei tyøng: Pheôp tính.
	2. Phía
Tĭng grĭng (tt) 	Lảo đảo. Eùbat tyøng gryøng: đi lảo đảo.
Tĭp (đgt)	Tyøp djo\: Truông phóc.
Tĭr tĭr (tt) 	Aõuïm ầm. Grăm kmlă tyør tyør: sấm seôt ầm ầm.
Tla (đgt) 	Trả. Tla nư: Trả nợ.
Tlah (đgt) 	Bẻ ra
Tlaih (đgt) 	1. Thít. Bi tlaih mnu\: Làm xổng gà.
	2. Khỏi. Tlaih  ư\ êpa: Khỏi đói keôm.
Tlak (đgt) 	Rẽ. Tlak êlan tâo: Rẽ ngôi tóc.
Tlam (dt) 	Chiều. Mơ\ng aguah truh kơ Tlam: Từ sáng đến chiều.
Tlam êngam (dt) 	Chiều chiều.Tlam êngam ]yøm khăng phiơr wyøt kơ hruh: Chiều chiều chim thường bay về tổ.
Tlan (dt) 	Vi khuẩn.
Tlang (dt) 	Diều hâu.
Tlang hiă (dt) 	Chim ó.
Tlao (đgt) 	Cười. Tlao  [u\YÛ: Cười mỉm; Tlao djik: Cười mỉa.
Tlar (tt) 	Láng. Eùlan tlar: đường láng (nhiều người đi lại).
Tlă (đgt) 	Phả vào. Angyøn tlă  [o#: Gió phả vào mặt.
Tlăk tlăr (tt)	Ba lăng nhăng. Mnuih tlăk tlăr: Người ba lăng nhăng.
Tlăl (đgt) 	Bịch. Tlăl le\ buh: Teô bịch.
Tlăm (đgt) 	Che lấp.
Tlăn (dt) 	Con trăn.
Tlăng (đgt) 	Cuốc (đào) (lật). Tlăng  hbei tao: đào khoai lang.
Tlăp (tt) 	Cũ. Ao tlăp: Aoûo cũ.
Tlăp mlăp (tt) 	Cũ kyoä. Aáu ]u\t ]hum ao tlăp mlăp: Nó mặc quần áo cũ kyoä.
Tlăt (đgt) 	Nhảy phóc. Tlăt đue# hiu: Nhảy phóc đi chơi.
Tlâo (dt) 	Ba. Mrô tlâo: Số ba.
Tleh tloh (tt) 	Bầy nhầy. }yøm tleh tloh: Thịt bầy nhầy.
Tlĕ (đgt)	Aûn căp.
Tlê (đgt) 	Giã. Tlê amrê]: Giã ớt.
Tli (đgt) 	Trát. Tli lu\: Trát bùn.
Tli tlia (tt) 	Lạch bạch. Eùbat tli tlia: đi lạch bạch.
Tliăl (tt) 	Thua. Ngă tliăl  amâo dưi: Thua không làm được.
Tliă tliêt (tt) 	1.Tỉ mỉ. Mă bruă tliă tliêt: Làm việc tỉ mỉ.
	2. Sâu săc. 
Tliêng (dt) 	Cài gùi lớn có năp đậy để đựng quần áo.
Tliêp (tt) 	Bất ngờ. 
Tliêr (tt) 	Cẩn thận
Tliêt (tt) 	Nhão. Eùsei tliêt: Cơm nhão.
Tlin (dt) 	Vô sinh (động vật). Uyõn tlin: Heo sổi (Quôa mập không đẻ được).
Tling (đgt) 	Buộc. Tling êman ti phu\n kyâo: Buộc voi ở gốc cây.
Tlip	Dính. 
Tlit (tt) 	Đặc. Bur tlit: cháo đặc.
Tlit tlat (tt) 	Đặc quánh.
Tlĭr (đgt) 	Thoăt. Tlyør kơ anei tlyør kơ adih: Thoăt ở đây thoăt ở bên kia.
Tloh ( đgt) 	Đứt. Tloh blei: mua đứt (được).
Tlŏ (đgt)	1. Tiêm. Tlo\ êa drao: Tiêm thuốc. 
	2. Đâm. Tlo\ kbao: đâm trâu.
Tlŏng (dt) 	Eh tlo\ng: Ráy tai.
Tlŏng tlut (dt) 	Cái gáy (phần sau của đầu).
Tlơ tlêč (tt) 	Lấp lánh. Buê mah tlơ tlê]: Bông tai lấp lánh.
Tlơ̆ng (đgt) 	Đổ
Tlô 	I. (đgt) đi ngịi
	Ii. (dt) dliê tlô: phong cảnh.
Tlu (dt) 	Dương vật.
Tlua (đgt) 	Tưới
Tluh (đgt) 	Thèm. Tluh mhao: Thèm khát.
Tlun (đgt) 	Giăt (ở dưới). Tlun mu\ng: Giăt màn.
Tlung (dt) 	Dốc thoai thoải.
Tluñ (đgt)	Phỉnh.
Tluôn (dt) 	1. Boh tluôn: Mông 
	2. Ti tluôn: Phía sau.
Tluôr (dt) 	Cá chạch.
Tlŭk tlăk (đgt) 	Chao động.
Tlŭm (đgt) 	Phủ (che phủ). {u\k tlu\m ală: Tóc che phủ măt.
Tlŭn (dt) 	Con nòng nọc.
Tlŭng (dt) 	Vết sẹo sâu (sau khi đã khỏi).
Tlŭp (tt) 	Cụp. Asâo tlu\p knga: Chó cụp tai.
Tlư (dt) 	Hbei tlư: Củ ráy.
Tlưč (dt) 	Hrah tlư]: đỏ hồng (màu hồng).
Tlưh (đgt) 	Xẻ. Tlưh ]ư\: Xẻ nuôi.
Tlưng ( đgt) 	Hất
Tlưng tlang (đgt) 	Quật (mạnh) eùman tlưng tlang phu\n alê: Voi quật bụi tre.
Tlưt (đgt) 	Nhót
Toh (đgt) 	Cởi ra. Tloh klei mah ti kkuê: Cởi dây chuyền ra khỏi cổ.
Ton (dt) 	Tấn (1tấn = 1000 kg).
Tŏ (dt) 	Cái lọ. To\ mnga: Lọ hoa.
Tŏk (dt) 	Cái gùi (vùng êa Hleo).
Tŏk bŏk (dt) 	Boh to\k bo\k. (1 loại quả trong rừng giống quả sung nhưng không ăn được).
Tŏng bi (dt) 	Mnga to\ng bi: Hoa beãm bịp.(hoa beãm beãm)
Tô (dt) 	Bạn gái.
Tô hmô (dt)	Ví dụ.
Tô rô (dt) 	Ana tô rô: Cây keo; Boh tô rô: Cây keo.
Tôč (đgt) 	Rỉa. Kan tô] mnơ\ng: Cá rỉa mồi.
Tôk (dt) 	Cái vỏ.
Tôl (dt) 	Tôn.
Tông 	I. (đgt) gõ (đánh). Tông ]ing: đánh chiêng.
	Ii. (dt) tông: u (thịt). Bi tông: cục u thịt; ana tông: cây cói dùng để dệt chiếu.
Tông lông(dt) 	Cây thần thoại ở trên mặt trăng giống như cây đa trên mặt trăng theo như huyền thoại của người Kinh.
Tô̆ng đơ (dt) 	Cái tông đơ căt tóc.
Tơ, tơ dah (pht) 	Nếu
Tơl (pht) 	Thậm chí
Tơ̆ng (đgt) 	Eùa tơ\ng: đoạn suối sâu.
Tơr bŭng (dt) 	Chân gùi.
Tra (dt) 	Aguah tra (ngày thứ ba kể từ sau ngày hôm nay).
Trač (đgt) 	Xịt. Tra] êa: Xịt nước.
Trah trač (tt) 	Đoảng. Mă bruă trah tra]: làm việc đoảng (không kyoä).
Trah (đgt) 	Trah jal: Quăng chài; Trah dlăng: Nheãn xa.
Trah dlăng (dt) 	Thăm nom
Trah mdrao (đgt) 	Chăm nom thuốc thang
Traih (đgt) 	Chải (chỉ).
Traih mrai (đgt) 	Chải chỉ băôûng bàn chải.
Trak trak (đgt) 	Ròng ròng. Eùa [le\ trak trak: Nước chảy ròng ròng.
Tram (đgt) 	Ngâm.Tram phyø kgâo ho\ng kpiê: Ngâm mật gấu với rượu.
Trang (dt) 	Cỏ lau.
Trañ (dt) 	Trayû bu\ng: đáy gùi.
Trao (dt) 	Vòng số 8 (băôûng dây rừng) dùng để cùm hai chân trước của voi.
Trap (tt) 	Không đủ. Amâo trap mnơ\ng [ơ\ng: Không đủ thức ăn.
Trap trap (tt)	Sâm sấp. Dưm êa trap trap: để nước sâm sấp.
Trăn (dt)	Bông trăn: Aoûo quan (hòm) bên ngịi.
Trăp(dt) 	Đầm lầy.
Trăp čuôr (dt) 	Cánh đồng
Trăp trang (dt) 	(Bãi đầm) Lau sậy
Treh 	I. (đgt) gạch. Treh anăn: gạch tên.
	Ii. (đgt) kẻ. Treh êlan kpă: kẻ đường thẳng.
Trei (tt) 	No. Huă bi trei: aûn cơm cho no.
Trei mđao(tt) 	No ấm.
Treng (dt) (Prăng)	Eùdeh treng: Xe lửa
Trĕ (đgt) 	Rỏ
Tri tria (tt) 	Xòe rộng ra. {ar m’iêng tri tria: Mặc váy xòe.
Tria (dt) 	Sàn. Tria riap ho\ng kram: Sàn lát băôûng tre.
Triă (dt) 	Ana triă: Cây triă (họ băôûng lăng).
Triăm (dt) 	Abăn triăm: Chăn thổ cẩm có 4 đường hoa văn đỏ.
Triah 	1. (dt) Mtu\ triah: Sao hôm. 
	2. Kan triah: Cá cheôp.
Triăng (đgt) 	Soi. 
Triêk (tt) 	1. Chẻ. Triêk alê: Chẻ tre.
	2. Msăm triêk: Chua loeôt; Kpiê msăm triêk: Rượu chua loeôt.
Triêl (đgt) 	Xeôn
Triêt (dt) 	Aguah triêt: Ngày thứ tư (sau ngày hôm nay).
Trih (đgt) 	Ghen.
Trih dah (đgt) 	Ghen tuông.
Tring ahing (tt) 	Trùng điệp.
Trĭ trŭ (tt) 	Nặng nề. Eùmo\ng đei êbat tryø tru\: Quá mập đi nặng nề.
Trĭt trĭt (đgt) 	Từng tí một. Brei prăk tryøt tryøt: đưa tiền từng tí một.
Trĭng (dt) 	Nám
Trĭp (tt) 	Vừa vặn.
Tro wêč (dt)	}yøm tro wê]: Chim tro wê].
Troh 	I. (dt) vực
	Ii. (đgt) đào băôûng vật nhọn (xà beng
Troh trôk (dt) 	Thung lũng.
Trŏk (đgt) 	Đầy ách. Bo\ tian tro\k. Đầy ách bụng.
Trŏng (dt) 	Cà. Tro\ng phyø: Cà đăng; Tro\ng lao: Cà rí; Tro\ng lue: Cà lông.
Trŏng drun (dt) 	Quả cà chua (nhỏ băôûng ngón tay).
Trŏng msăm (dt) 	Cà chua.
Trô (đgt) 	Rót vào chai. Trô  kpiê hlăm giêt: Rót rượu vào chai.
Trôč (đgt) 	1. Nhỏ giọt. Trô] êa ti ko\: Nhỏ nước lên đầu. 
	2. Cuông (con vật). Trô] êman: Cuông voi.
Trôč mia(đgt) 	Nhỏ và bôi. Trô] êrah ti ]eh: Nhỏ và bôi huyết vào cheô.
Trông (đgt)	Để
Trông čhai (đgt) 	Bàn bạc
Trông kdrông (đgt) 	Băc cầu khỉ.
Trô̆(đgt) 	Sực nức.
Trơ̆ng (đgt) 	Beôn. Pui trơ\ng: Lửa beôn.
Truang ahuang (tt) 	Sáng choang. Pui diăn truang ahuang: Ngọn nến sáng choang.
Truă (đgt) 	1. Đậy. Truă kdruă: đậy năp.
	2. Đeo. Truă ală kyøng: đeo măt kiếng.
Truă rup (đgt)	Đội lốt.
Truăk (đgt) 	Eõaüc. Lun truăk mtam: nuốt ực luôn.
Truăn (đgt) 	Chuyên tâm. Aáu truăn nanao kơ bruă: Nó luôn luôn chuyên tâm đến công việc.
Truăn mĭn (tt)	Lo lăng.
Truêč truêč (tt) 	Æt
Truh (đgt) 	Đến
Truih 	1. (đgt) Truih pui: Dập lửa.
	2. {âo truih: Hôi chua.
Truih traih (tt) 	Mùi thối.
Truk truk (tt) 	Aòo ạt. Hjan truk truk: Mưa ào ạt.
Truk trak (tt) 	Eøuïng ộc. Eùa [le\ truk trak: nước chảy ồng ộc.
Trul tral (tt) 	Nặng nề. Asei mlei trul tral: Thân heãnh nặng nề.
Trung (đgt) 	Phủ phục. Eùman trung: Voi phủ phục.
Truôl (dt) 	Eøöûi. Ana truôl: cây ổi; boh truôl: qủa ổi.
Truôl jang (dt) 	Ana truôl jang: Cây băôûng lăng hoa tím.
Truôm (dt) 	Con nhộng. Hluăt truôm: Sâu nhộng.
Trŭn (đgt) 	Xuống. Tru\n ]ư\: Xuống dốc.
Trŭt (đgt) 	Đẩy. Tru\t giê: đẩy gậy.
Trưng 	I.(dt) lán. Ngă trưng: làm lán.
	Ii. (đgt) quyoå xuống. Eùman trưng: voi quyoå xuống.
Tu (dt) 	Cái mai
Tu krua (dt) 	Mai rùa. Tu krua khăng snăk: Mai rùa rất cứng.
Tuah (đgt) 	Muôc. Tuah êa: Muôc nước.
Tuai (dt) 	Pưk tuai: Chòi tạm.
Tual (đgt) 	Khoanh (tròn).
Tual wĭl (dt) 	Khoanh tròn. Giê tual wyøl: Com pa.
Tuang (đgt) 	Chăng. Wăk wai tuang hruh: Con nhện chăng tơ.
Tuăk (đgt) 	Móc
Tuăng tuăng (đgt)	Đùng đùng. Eùnai phao tuăng tuăng: tiếng suông đùng đùng.
Tuăp (đgt) 	Truông phóc. Mnu\ ]oh tuăp: Gà mổ truông phóc.
Tuăr (đgt) 	Phập. Djo\ tuăr ti ko\: Truông phập vào đầu.
Tuăt tuăt (tt)	Loăt choăt.
Tuč (đgt) 	Châm. Tu] pui: Châm lửa.
Tue, tuê (dt) 	Khách.
Tue hiu čhưn (dt) 	Khách du lịch.
Tuêh (đgt) 	Veôt. Tuêh go\ êsei: Veôt nồi cơm.
Tuh (đgt) 	Đổ
Tuh jia (đgt) 	Đóng thuế.
Tuh lăn(đgt) 	Cuông thần đất.
Tuh suôr (đgt) 	Lột da. Ala tuh suôr: Răn lột da.
Tui (đgt) 	Theo.
Tui čih (đgt) 	Cheôp
Tui duah (đgt) 	Teãm kiếm.
Tui hluê (đgt) 	Đi theo.
Tui kru (đgt) 	Đi theo dấu vết.
Tui si (đgt) 	Giống như. Ngă tui si yûu la]: Làm giống như nó nói.
Tuič (đgt) 	Kết thuôc.
Tuič ai (đgt) 	Tăt thở.
Tuič djuê (đgt) 	Tiệt nòi
Tuič ruê̆ (đgt)	Kết thuôc.
Tuit (đgt) 	Nheôo.
Tuĭ (đgt) 	Bịch. Le\ tuyø ti lăn: Rớt bịch xuống đất. 
Tuk (dt) 	Kmu\n tuk: Dưa gang; }eh tuk: Cheô tuk.
Tum (dt) 	Kyoå đà.
Tung (dt) 	Gian. Tung gah: Gian trước; Tung mniê: Gian giữa giành cho phụ nữ ngồi uống rượu nhà sàn Êđê.
Tuôm (đgt) 	Gặp. Bi tuôm: Gặp nhau.
Tuôm ƀô̆(đgt) 	Gặp mặt. Tuôm [o# so# ală: Mặt giáp mặt.
Tuôr 	I. (dt)1.ốc xoăn (vặn)
	2. Tháp. Sang tuôr: Tháp.
	3. Vòng
	Ii. (đgt) qua. Tuôr kdrông: qua cầu. 
Tut (dt) 	Cây tầm gửi.
Tur (dt) 	Nền. Tur sang: Nền nhà. 
Tur êa krông (dt) 	Đáy sông.
Tŭ ư (đgt) 	Công nhận
Tŭ dưn (tt) 	Æch lợi. Mnuih tu\ dưn: người có ích.
Tŭ jing (tt) 	Thành công.
Tŭč krŭč (tt) 	Khật khưỡng (khiễng). Eùbat tu\i] krui]: Bước đi khập khiễng. 
Tŭk (đgt) 	1. Nấu
	2. Đấm. Tu\k ti ro\ng: đấm vào lưng.
Tŭk riă(đgt) 	Ninh
Tŭk tŭl (tt) 	Mù mịt. {hu\l tu\k tu\l: Bụi mù mịt.
Tŭk mrui (dt) 	Con bọ nhỏ.
Tŭk mrŭk (dt) 	Đồ dùng để đuổi chim thuô.
Tŭl 	I. (đgt) huôc. Eùmô tu\l: bò huôc.
	Ii. (tt) xăôûng bậy. Blu\ tu\l: nói xăôûng bậy (không có đầu đuôi).
Tŭl tăl (tt) 	Chăc nịch. Asei mlei tu\l tăl: Thân heãnh chăc nịch.
Tŭm (tt) 	Phồng lên. Bo\k tu\m: Sưng phồng lên.
Tŭn (đgt) 	Aõaún. Tu\n bi kjăp: aõaún cho chăc.
Tŭn tăn (đgt) 	Aõaún chăc chăn.
Tŭng (dt) 	Rơ\k tu\ng: Cỏ gấu.
Tŭng klŭng (đgt) 	Lăn lóc.
Tŭp (tt) 	Phập.
Tŭr 	I. (dt) ana tu\r: cây bứa; boh tu\r: qủa bứa; mtu\ tu\r: sao mai.
	Ii. (đgt) đấm mạnh. 
Tŭt (dt) 	Đốt. Tu\t kđiêng kngan: đốt ngón tay; tu\t alê: đốt tre.
Tư hrư (tt) 	Thoai thoải. Tru\n dhu\ng (tlung) tư hrư: Xuống dốc thoai thoải.
Tưt (tt) 	Muộn. Bruă sui tưt: Việc lâu muộn (muộn màng).
Tưp (đgt) 	Lây
Tưp lar (tt) 	Lây lan. Klei ruă tưp lar djăp anôk: Bệnh lây lan khăp nơi.
Tư̆ (đgt) 	Nhích. Tư\ kơ dlông: Nhích lên trên.
Tư̆r tư̆r (đgt) 	Aõuïm ầm. Grăm kmlă tư\r tư\r: sấm seôt ầm ầm. 
	 
U	 
	 
U (tt) 	To lớn. Eùmô u: Bò giống to.
U u (đgt) 	Vù vù. Angyøn u u: Gió vù vù.
Ua jai (pht) 	Hơn
Uă (đgt) 	1. Rửa. Uă ]hiên mngan: Rửa cheôn bát.
	2. Cưa. Uă kyâo: Cưa gỗ.
	3. Keôo. Uă pui: Keôo bùi nhùi mồi lửa; Uă kni: Keôo nhị.
Uak (dt) 	Cái theãa. Uak boh: Cái muôi; Uak giê: đũa cả xới cơm.
Uan (dt) 	Giống như awan.
Uan dhuan (dt) 	Giống như awan dhuan: Thân heãnh.
Uăt (tt) 	Eõaüc. Lun uăt: nuốt ực.
Uăm (tt) 	Phù. Bo\k uăm: Sưng phù.
Uăm uăm (đgt) 	Oang oang. Đo\k blu\ uăm uăm: Giọng nói oang oang.
Uăr (tt) 	Sưng vù. Uăr  ko\ng đo\k: Họng sưng vù.
Uăr uăr (tt)	Sự ồn ào
Uăt (tt)	Yếu. Mnuih uăt: Người yếu.
Uê (dt) 	Màu nâu. Ju\ uê: đen nâu.
Uê pui (dt) 	Khói đọng lại
Uêñ (đgt) 	Quan tâm
Uêñ uêñ (tt) 	Nài nỉ
Uh uh (tt) 	Râm ran. Blu\ tlao uh uh: Cười nói râm ran.
Uh ưh (tt) 	Anh ách (đầy bụng khó chịu veã quá no).Tian trei uh ưh: Bụng no anh ách.
Uih (đgt) 	1. Uoùi (là). Uih ]hum ao: Uoùi quần áo. 
	2. Uốn: Uih [u\k: Uốn tóc. 
	3. Hơ. Uih  hla mtei: Hơ lá chuối.
Ung (dt) 	Chồng (vợ). Dôk ung: Lấy chồng.
Uôp (đgt) 	Bịt. Uôp [ăng êgei: Bịt miệng.
Uôt (đgt) 	Căt. Uôt êrah mnu\: Căt tiết gà.
Ur (đgt) 	Kêu
Ur lač (đgt) 	La to (nói to).
Ur hưn (đgt) 	La lối.
Ur mpŭ (đgt) 	Hoan hô.
Ut ut (tt) 	Theã thầm. Blu\ ut ut: Nói theã thầm.
U|k rŭk (đgt) 	Eõòng ực. Lun u\k ru\k: nuốt ừng ực.
U|k ŭk (tt) 	Đông đuôc. Mnuih u\k ăk: người đông đuôc.
Ul (đgt) 	}Uh ul: eûaë chua.
	 
U|	 
	 
U|l ăl (tt) 	Hầm hập. Hlơr u\l ăl: Nóng hầm hập.
